id,word_representation,outwear,top,trousers,women dresses,women skirts
35,w270233 w187972 w240587 w34504 w186076 w289586 w381553 w162965 w66980 w194870 w5260 w93366 w195317 w254429 w286461 w87179 w39218 w140360 w154207 w263923 w500369 w332345 w253354 w311583 w204762 w101681 w290136 w359330 w314686,0,0,1,0,0
36,w151648 w254516 w89000 w276473 w376672 w12622 w272605 w238504 w48576 w309353 w399113 w34893 w372706 w323095 w121255 w193800 w75397 w26791 w256897 w168417 w366647,1,0,1,0,0
37,w247655 w270233 w261113 w18470 w337250 w366000 w378735 w500012 w200253 w500481 w395130 w67630 w197783 w40702 w118355 w111248 w292000 w383444 w115724 w138132 w314686,0,0,1,0,0
38,w127737 w39218 w181937 w333985 w376233 w250138 w369717 w90685 w336335 w282225 w115114 w130532,1,0,0,1,0
39,w318673 w121255 w193800 w75397 w125056 w28453 w318673 w253354 w311583 w500670 w376233 w221983,1,0,0,0,1
40,w254516 w93366 w206428 w338587 w276473 w115771 w141635 w116919 w314686 w349210 w114089 w500402 w500491 w48576 w309353 w399113 w34893 w180144 w366139 w342007 w26791 w256897 w168417 w366647,1,0,1,0,0
41,w34893 w500257 w153629 w50916 w115724 w1867 w120979 w50916 w16587 w272605 w265142 w15393 w282225 w115114 w29880,1,1,0,0,0
42,w34893 w353238 w333024 w364496 w203431 w250138 w389481 w93366 w34893 w388541 w86449 w207614 w51947 w159413 w59496 w371725 w193800 w285689,1,0,0,1,0
43,w378979 w41024 w389319 w186076 w392173 w204762 w150363 w338476 w331534 w133157 w374577 w233042 w311583 w337250 w302106 w173688 w85858 w126631 w119716 w314686,0,0,1,0,0
44,w197783 w193800 w17109 w115724 w1867 w120979 w366000 w217871 w147343 w34893 w289496 w32497 w358149 w280384 w225739 w292000 w101837 w14631 w176441 w104397 w221983,0,1,0,0,1
45,w195317 w102200 w381413 w311583 w34893 w500342 w236725 w66980 w384336 w15393 w105773 w238644 w326377 w232128 w395350 w17904 w34893 w121049 w242257 w314686 w204762 w327385 w118603 w286596 w294820,1,1,1,0,0
46,w194870 w82026 w182664 w384857 w278986 w250138 w192464 w270233 w177420 w151648 w396418 w204121 w267098 w206393 w15393 w217871 w7718 w82199 w241910,1,0,1,0,0
47,w500001 w128292 w253354 w254516 w102910 w374393 w20297 w261113 w183259 w29840 w33992 w217871 w46640 w314686,0,1,1,0,0
48,w371473 w227401 w66980 w213553 w71958 w333024 w50316 w33992 w305137 w8052 w217871 w8992 w320081 w500188 w185089 w22890 w228404 w197783 w111248,0,1,1,0,0
49,w247655 w292000 w254429 w342153 w186076 w194870 w141327 w66980 w34893 w25041 w17109 w342007 w217871 w500744 w254429 w39294 w225739 w172013 w34893 w308584,1,0,1,0,0
50,w29880 w500010 w219120 w279437 w247037 w199772 w173215 w241910 w89538 w155034 w254429 w42500 w186076 w97583 w194870 w20297 w311583 w189406 w369089 w371640 w382355 w359330 w135431 w36882,0,1,1,0,0
51,w500049 w239044 w302766 w311583 w129473 w338587 w277040 w365489 w321998 w234583 w250138 w217871 w183259 w92187 w241910 w186076 w79880,0,0,1,1,0
52,w119784 w194870 w31180 w131051 w126729 w269012 w90685 w195317 w53573 w253354 w186076 w41128 w373517 w294269 w78494 w238644 w174897 w240625 w34893 w173688 w384021 w342007 w311583 w219120 w100269 w101837 w105773 w279541 w261801 w253067 w311583 w373517 w314861 w399365 w398740 w282700 w395984 w138132 w342007,1,0,0,0,0
53,w195317 w87218 w70995 w286461 w295346 w263923 w314686 w500350 w217871 w392128 w66980 w202485 w10065 w137100 w338476 w80220 w392167,1,0,1,0,0
54,w237465 w256553 w286461 w209018 w384021 w356891 w250138 w382662 w111248 w194827 w234583 w8954,0,1,0,1,0
55,w42169 w194870 w94172 w254516 w382662 w195536 w309016 w500396 w33992 w254429 w34893 w346100 w225739 w194870 w289829 w373432 w94172 w267098 w276473 w2470 w241910,0,1,1,0,0
56,w194870 w220342 w127737 w308610 w26791 w150225 w133157 w250138 w89000 w276473 w188324 w241910 w311583 w390708 w186076 w194870 w44158 w136665 w198528 w186648 w250138,0,0,1,1,0
57,w157401 w229673 w256553 w97300 w286461 w320917 w300365 w156342 w157128 w34234 w118125 w120979 w217871 w103244 w51013 w314686 w127064 w203588 w12685,0,1,1,0,0
58,w398645 w225739 w301260 w8992 w364496 w203431 w248538 w280823 w175602 w181642 w123557 w342007 w183601 w311583 w160701 w61358 w322219 w24134 w121255 w193800 w76084 w71240,1,0,0,0,1
59,w186457 w373517 w294269 w209913 w24292 w66980 w224831 w195317 w34893 w111248 w341569 w291836 w319927 w70969 w312941 w378116 w50433 w138132 w134784 w342007,1,0,1,0,0
60,w372212 w127707 w186076 w282945 w391575 w66980 w91368 w154207 w295346 w314686 w305404 w61795 w126729 w203342 w126729 w124735 w36882,0,1,1,0,0
61,w373517 w383437 w34893 w87179 w289496 w372359 w241910 w311583 w373517 w378972 w320917 w358149 w333652 w69002 w386370,1,0,1,0,0
62,w135270 w5701 w48776 w338476 w80220 w193800 w76913 w311583 w293859 w217871 w186076 w63426 w197783 w250138 w311583 w115915 w225739,0,1,0,1,0
63,w189113 w165609 w500064 w267098 w276473 w12685 w377964 w311583 w8 w121802 w322219 w173688 w347760 w386937 w380494 w241910,0,0,1,0,0
64,w194870 w82026 w182664 w384857 w278986 w250138 w192464 w177420 w151648 w396418 w204121 w118745 w381474 w500056 w341569 w217871 w341569 w181937 w216543 w193800 w33992,0,1,1,0,0
65,w347736 w256905 w66217 w186076 w185000 w162965 w34893 w197783 w39082 w500122 w261297 w162756 w283853 w342007 w89538 w173100 w155034 w254429 w339029 w1867 w120979 w207614 w373517 w500184 w344312 w337551 w118125 w120979,1,1,0,0,0
66,w318673 w121255 w118839 w75959 w380494 w221983 w125056 w225739 w318673 w253354 w311583 w7718 w173355 w138132 w232277 w90685 w314686,0,0,1,0,1
67,w34893 w286596 w61358 w29840 w118125 w120979 w389481 w93366 w34893 w388541 w86449 w207614 w51947 w159413 w59496 w189113 w165609 w336962 w173688 w347760 w368487 w12685 w500536 w500681,0,1,1,0,0
68,w215152 w84933 w202485 w500013 w135431 w238625 w115724 w36882 w270233 w177420 w41327 w151648 w152735 w279541 w48576 w334524 w217871 w279522 w43233 w186076 w399290 w279437 w22966 w329599 w204762 w101681 w88687 w51013 w15393,1,1,0,0,0
69,w398645 w225739 w34893 w154845 w167339 w256214 w1867 w120979 w261297 w136665 w241910 w183601 w311583 w160701 w139689 w24134 w236725 w66980 w384336 w120979 w250138,0,1,1,1,0
70,w254516 w62255 w381413 w321998 w290610 w151853 w250138 w356796 w326106 w34893 w175250 w217578 w186076 w349078 w276473 w188324 w27432 w250138,0,0,0,1,0
71,w167111 w34893 w234583 w113935 w204762 w359330 w251288 w374393 w305202 w294820 w217871 w369717 w241910,0,1,1,0,0
72,w279522 w352852 w277627 w77842 w194870 w293558 w53573 w253354 w281031 w225739 w194870 w371196 w182664 w335583 w218713 w286461 w286596 w322224 w15393 w500067 w1867 w120979 w16981 w257789,1,1,0,0,0
73,w137669 w34893 w69002 w364496 w203431 w241910 w48576 w34893 w261297 w32424 w166204 w165492 w241910 w66980 w393975 w358149 w73217 w71240,1,0,1,0,0
74,w204762 w150363 w373033 w71240 w239661 w311583 w48576 w85032 w155034 w311583 w265585 w173688 w399554 w379024 w241910 w8992,1,0,1,0,0
75,w254516 w282140 w47586 w303170 w14299 w250138 w356796 w326106 w34893 w175250 w186076 w337250 w349078 w277040 w126056 w351537 w82660 w50316 w33992,0,1,0,1,0
76,w195317 w157577 w194870 w20160 w374393 w178656 w247655 w195317 w146990 w90685 w286461 w189406 w396039 w289496 w116136 w115724 w138576 w71240 w355829 w253354 w311583 w10065 w166487 w257095 w85858 w342532 w241910,1,0,1,0,0
77,w372212 w127707 w186076 w282945 w380881 w66980 w500005 w241910 w500013 w135431 w238625 w115724 w193067,0,0,1,0,0
78,w194870 w94172 w225739 w254516 w382662 w309335 w289496 w230612 w256086 w254429 w306830 w346100 w225739 w194870 w289829 w373432 w94172 w363911 w376672 w500007,0,0,1,0,0
79,w279289 w378979 w41024 w389319 w186076 w180757 w14690 w192814 w294820 w33992 w233042 w311583 w302106 w215985 w204762 w150422 w13621 w338476 w75409 w36882,0,1,0,0,0
80,w270233 w261113 w241392 w158353 w500001 w708 w93240 w104248 w145451 w250138 w143460 w500037 w138132 w34893 w171137 w138132 w250138,0,0,0,1,0
81,w256826 w294195 w34893 w751 w66217 w100269 w333024 w290610 w250138 w500055 w51673 w500039 w250138,0,0,0,1,0
82,w195317 w194870 w167540 w388071 w82026 w126394 w225739 w34893 w111248 w197207 w217871 w69952 w331534 w1867 w120979 w111248 w332827 w193306 w392167 w391554 w125056 w42589 w225739,1,1,0,0,0
83,w135270 w217871 w198315 w386149 w256214 w384021 w1867 w120979 w239332 w56311 w34893 w81629 w345945 w155657 w298189 w321998 w75397,1,1,0,0,0
84,w151648 w34893 w368663 w39138 w335577 w398740 w15393 w98086 w234583 w101837 w104397 w250138 w217871 w296767 w384530 w185379 w155411 w29880 w500001 w148650 w311583 w230522 w204540 w61795 w119162,1,0,0,1,0
85,w279289 w378979 w41024 w389319 w392173 w336139 w6585 w33992 w179065 w234787 w500447 w109047 w311583 w337250 w302106 w215985 w204762 w101681 w214976 w59499 w141243 w109047,0,0,1,0,0
86,w237465 w125056 w67524 w217871 w230090 w34893 w89538 w388086 w268930 w277040 w333024 w120979 w311583 w34893 w266998 w174229 w276703 w241910,0,1,1,0,0
87,w215152 w84933 w202485 w335611 w240417 w261297 w145577 w162756 w138576 w71240 w270233 w177420 w41327 w151648 w155034 w152735 w48576 w334524 w217871 w279522 w43233 w186076 w399290 w279437 w22966 w329599 w389791 w155034 w338476 w80220 w105389 w311583 w255783 w383099,1,0,1,0,0
88,w99802 w256214 w384021 w7643 w263854 w203431 w75397 w308610 w239430 w116919 w241910 w311583 w101837 w222895 w48576 w82325 w154542 w342007 w121255 w193800,1,0,1,0,0
89,w135216 w358149 w333652 w1867 w120979 w301033 w194870 w20160 w374393 w194870 w223736 w302460 w186076 w151648 w378209 w81365 w261297 w6645 w323848 w186076 w194870 w86534,0,1,0,0,0
90,w112319 w66980 w194870 w167930 w260687 w195815 w39222 w207614 w194870 w316201 w20297 w87218 w236352 w82341 w374393 w34893 w301607 w333024 w276473 w188324 w250138 w48576 w34893 w115549 w213509 w272605 w314686,0,0,1,1,0
91,w382355 w169896 w298077 w115724 w342007 w194870 w308610 w173688 w384021 w376233 w250138 w311583 w333524 w223724 w206393 w15393,1,1,0,1,0
92,w241163 w218210 w295366 w21643 w337134 w134152 w181937 w7718 w359330 w298189 w171593 w342007 w311583 w500061 w322219 w144920 w172251 w194870 w253067 w204762 w112319 w500062 w338476 w75409 w159965 w105389,1,0,1,0,0
93,w167111 w34893 w234583 w113935 w115549 w213509 w500021 w111248 w500175 w193800 w33992,1,1,0,0,0
94,w230409 w33852 w109269 w369689 w186076 w217871 w286596 w62255 w115549 w213509 w500021 w120979 w270233 w19283 w260920 w34893 w81461 w105773 w375163 w71220 w217871 w327774 w90685 w34893 w382355 w374393 w276703 w324593 w277040 w193306 w392167,1,0,0,0,0
95,w194870 w220342 w127737 w308610 w39308 w150167 w280823 w221983 w336139 w198149 w135431 w55763 w48776 w500168 w314686 w186076 w44158 w240313 w315521 w147070 w378784 w252160 w378784 w241910 w8992,0,0,1,0,1
96,w34893 w121255 w193800 w342007 w292000 w305137 w182664 w384857 w47586 w235668 w240587 w305925 w207614 w386149 w20894 w500105 w207476 w375088 w6645 w202665 w86171 w257789 w8954 w314686,1,0,1,0,0
97,w500042 w358562 w81698 w194870 w221366 w66980 w34893 w227620 w120979 w345194 w45374 w15393,1,1,0,0,0
98,w195317 w256553 w70995 w286461 w368663 w338587 w99485 w368663 w36882 w217871 w66980 w373517 w202485 w10065 w145683 w302064 w138132 w277040 w163007,1,1,0,0,0
99,w194870 w220342 w308610 w39302 w282206 w247699 w105389 w217871 w261297 w169896 w277040 w376233 w221983 w186076 w194870 w44158 w286596 w276473 w91800 w314686,0,0,1,0,1
100,w155034 w256553 w333968 w252438 w221983 w186076 w334524 w217871 w207614 w44598 w216527 w115724 w256214 w384021 w71240 w240587 w148781,1,0,0,0,1
101,w500068 w269165 w262082 w273956 w105615 w18470 w272812 w272605 w342007 w395130 w165609 w228248 w70969,1,0,1,0,0
102,w267098 w75409 w374577 w173688 w399554 w187552 w337551 w121255 w193800 w120979 w217871 w343753 w225739 w382355 w374393 w265585,0,1,1,0,0
103,w41024 w237465 w256553 w95569 w174897 w103096 w256553 w34504 w186076 w151648 w194870 w290970 w111248 w216543 w47586 w276473 w217871 w188324 w250138 w217871 w34893 w156065 w39218 w180757 w359330 w115724 w70673 w256214 w71240,1,0,0,1,0
104,w102200 w381413 w186076 w194870 w390515 w286461 w136665 w75409 w241910 w217871 w34893 w234583 w45765 w93366 w87179 w347032 w112287 w82818 w332156 w500007,0,0,1,0,0
105,w137669 w34893 w500067 w135431 w118125 w120979 w48576 w311583 w383444 w161756 w225970 w9426 w320917 w177163 w1867 w120979 w393975 w358149 w324593 w277040 w286596 w322224 w392167,1,1,0,0,0
106,w195317 w102200 w381413 w186076 w194870 w390515 w368487 w12685 w217871 w34893 w234583 w93366 w93366 w87179 w347032 w209530 w121255 w314686,0,0,1,0,0
107,w195317 w205904 w321998 w500052 w158353 w286461 w338587 w368487 w12685 w217871 w338587 w241910,0,0,1,0,0
108,w125056 w334211 w66980 w254516 w223059 w111411 w28028 w199772 w235089 w8954 w250138,0,0,0,1,0
109,w194870 w125704 w31180 w131051 w126729 w269012 w90685 w195317 w53573 w253354 w186076 w41128 w373517 w294269 w78494 w238644 w174897 w240625 w34893 w282874 w398280 w15393 w105773 w194870 w279541 w261801 w253067 w311583 w314861 w27013 w368487 w12685,1,0,1,0,0
110,w500042 w358562 w194870 w221366 w26509 w66980 w34893 w209018 w384021 w356891 w250138 w372014 w48932 w138132 w71240,1,0,0,1,0
111,w262165 w133070 w115724 w241910 w377964 w311583 w8 w121802 w322219 w206654 w138132 w48776 w241910,0,0,1,0,0
112,w318673 w209018 w384021 w365724 w186648 w250138 w125056 w28453 w225739 w318673 w253354 w311583 w298189 w198528 w158353 w120979,0,1,0,1,0
113,w127737 w181937 w327489 w250138 w304300 w138576 w15393 w282225 w115114 w130532,1,0,0,1,0
114,w292000 w254429 w342153 w186076 w194870 w141327 w161948 w66980 w34893 w111248 w181937 w54630 w15393 w319927 w54702 w368487 w70969 w217871 w39294 w225739 w172013 w34893 w308584,1,0,1,0,0
115,w107481 w254429 w342153 w66980 w34893 w338587 w146650 w398736 w34893 w71958 w333024 w60883 w250138 w311583 w181937 w369717 w307409 w33992 w111248,0,0,1,1,0
116,w93366 w194870 w393987 w39222 w174897 w195317 w271715 w82341 w89538 w338476 w80220 w91800 w314686 w275199 w374393 w111248 w204762 w150363 w207370 w25638 w500034 w322219 w195317 w186076 w66980 w194870 w189105,1,0,1,0,0
117,w194000 w382355 w338587 w33841 w106085 w361596 w118125 w120979 w155034 w311583 w138576 w173430 w15393 w311583 w164528 w234583 w207614 w34893 w751 w386149 w368487 w12685,1,1,1,0,0
118,w182322 w384021 w186648 w70856 w33992 w239661 w311583 w70440 w48576 w85032 w155034 w311583 w204762 w101681 w36882,0,1,0,0,0
119,w372212 w127707 w186076 w282945 w391575 w66980 w187168 w182322 w384021 w75397 w81482 w89538 w337551 w286596 w120979,1,1,0,0,0
120,w194870 w83749 w256553 w37419 w286461 w35891 w100269 w333024 w323753 w280823 w111248 w309016 w256214 w384021 w1867 w120979,1,0,0,1,0
121,w133277 w361433 w90685 w111248 w342532 w104397 w221983 w311583 w274452 w384021 w60883 w250138 w311583 w390708 w228759 w264045,0,0,0,1,1
122,w195317 w256553 w37419 w218713 w193846 w186076 w194870 w286461 w383444 w115724 w69002 w1867 w120979 w223408 w324593 w74232 w392167,1,1,0,0,0
123,w127064 w203588 w332006 w250738 w112319 w273956 w119716 w12685 w42169 w377964 w311583 w8 w121802 w380347 w115724 w68193 w44496 w185790 w36882,0,1,1,0,0
124,w364852 w84933 w152440 w133512 w327517 w311583 w181937 w354661 w282140 w193800 w33992 w270233 w48576 w239332 w264542 w245977 w313954 w338777 w230612 w256086,0,1,1,0,0
125,w66980 w197145 w44496 w147936 w22890 w256214 w75397 w111248 w111248 w191644 w186076 w191644 w15393 w237465 w256553 w218713 w243012 w194870 w115114 w186457 w107942,1,0,0,0,0
126,w318673 w361433 w90685 w74022 w218049 w135431 w359330 w1867 w120979 w338587 w365241 w173688 w347760 w500005 w221983 w228759 w99802,0,1,0,0,1
127,w186457 w373517 w294269 w209913 w24292 w66980 w195317 w127737 w34893 w111248 w173688 w347760 w386937 w380494 w241910 w312941 w336139 w27377 w395589 w68396 w396148 w36882,0,1,1,0,0
128,w254516 w356796 w191555 w82341 w245065 w247655 w270233 w77504 w186076 w382355 w84933 w388086 w268930 w273956 w70969 w169083 w240417 w365194 w385834 w332345 w136181 w115724,0,0,1,0,0
129,w247655 w261113 w18470 w337250 w366000 w378735 w500012 w306830 w200253 w335611 w240417 w112319 w165609 w121255 w314686 w66980 w140261 w338476 w80220 w193800 w302483 w33992,0,1,1,0,0
130,w229673 w256553 w97300 w286461 w34893 w320917 w125224 w221983 w217871 w232774 w392167,1,0,0,0,1
131,w373517 w350483 w37419 w162965 w286461 w206428 w271473 w256780 w256214 w75397 w291979 w500226 w69496 w34893 w368487 w12685,1,0,1,0,0
132,w500126 w240587 w286461 w34893 w145577 w374393 w23969 w84287 w109896 w255783 w198565 w388086 w268930 w141635 w234583 w101837 w33992 w217871 w83808 w383444 w161756 w338476 w384336 w242583 w351010 w91800 w314686,0,1,1,0,0
133,w237465 w34893 w234583 w113935 w165492 w280823 w221983 w217871 w102382 w286297 w51167 w323852,0,1,0,0,1
134,w195317 w194130 w34893 w374393 w200148 w236919 w314686 w391554 w239044 w311583 w34893 w111248 w315535 w364496 w217871 w238062 w133070 w241910 w311583 w120502 w204762 w101681 w87293 w398740 w256214 w71240,1,0,1,0,0
135,w195317 w164832 w381413 w374393 w115114 w286461 w309353 w373517 w366000 w225279 w273391 w109047 w204762 w101681 w317375 w225279 w36882 w319646 w150422,0,1,1,0,0
136,w195317 w205904 w321998 w194870 w500052 w286461 w44496 w321998 w333024 w241910 w360424 w253837 w342007,1,0,1,0,0
137,w241780 w332305 w127737 w34893 w223408 w261297 w500778 w164005 w313431 w290610 w221983 w186076 w34893 w111248 w111248 w222856 w286297 w159743 w15393 w194870 w12216,1,0,0,0,1
138,w151648 w93366 w153315 w115724 w172823 w71240 w48576 w399113 w34893 w303704 w286596 w133005 w347760 w295346 w12685 w26791 w256897 w500012 w366647,1,0,1,0,0
139,w157401 w229673 w97300 w286461 w34893 w320917 w388086 w268930 w98699 w333024 w138132 w221983 w360424 w116919 w70856 w82539 w280823 w221983,0,0,0,0,1
140,w322219 w261297 w239430 w174229 w280823 w250138 w270214 w305249 w173688 w384021 w249337 w250138 w256905 w153164 w207614 w189406 w30992 w374393 w300222 w228165,0,0,0,1,0
141,w142023 w356690 w186076 w373517 w6691 w275199 w374393 w286461 w373432 w94172 w185078 w62255 w66980 w33992 w186076 w5713 w356690 w186076 w398645 w286461 w170527 w111709 w255783 w36882,0,1,0,0,0
142,w237465 w256553 w34893 w40795 w181937 w70856 w376233 w221983 w388448 w219120 w120979,0,1,0,0,1
143,w279289 w395855 w61795 w286461 w308610 w111248 w173688 w399554 w30585 w70969 w111248 w338587 w361596 w118125 w120979,0,1,1,0,0
144,w237465 w53495 w306061 w372126 w47982 w66980 w189406 w71392 w217871 w256214 w384021 w332827 w250138 w34893 w395130 w165609 w133070 w103141 w105773 w45021 w380347 w201668,0,0,1,1,0
145,w195317 w374666 w167540 w388071 w82026 w126394 w225739 w34893 w111248 w247037 w85858 w92187 w314686 w500251 w111248 w215796 w276473 w92187 w241910 w17440 w125056 w42589 w225739 w162965,0,0,1,0,0
146,w237465 w125056 w66980 w254516 w223059 w111411 w52100 w385368 w255783 w221983,0,0,0,0,1
147,w373517 w500078 w360699 w34893 w39218 w380494 w34893 w171137 w241910 w89538 w320917 w395725 w118125 w120979,0,1,1,0,0
148,w195317 w157577 w194870 w20160 w374393 w194870 w178656 w247655 w195317 w146990 w90685 w286461 w396039 w289496 w500005 w165492 w380494 w241910 w355829 w253354 w34893 w10065 w158353 w285701 w385444 w70969,0,0,1,0,0
149,w500126 w240587 w286461 w34893 w145577 w20297 w374393 w23969 w84287 w255783 w198565 w173688 w133005 w82660 w221983 w217871 w276703 w216937 w203431 w241910,0,0,1,0,1
150,w318673 w335611 w240417 w1867 w120979 w301033 w194870 w20160 w374393 w194870 w223736 w237465 w186076 w151648 w378209 w261297 w247037 w198528 w272605 w332345 w186076 w194870 w86534,0,1,1,0,0
151,w378979 w41024 w389319 w186076 w392173 w63426 w163007 w233042 w311583 w337250 w302106 w361808 w365489 w247466 w15393,1,0,0,0,0
152,w54702 w48776 w173430 w295346 w314686 w311583 w7718 w500013 w70673 w197783 w193800 w342007 w82325 w276703 w121255 w193800 w75397,1,0,1,0,0
153,w241163 w218210 w295366 w21643 w34893 w134152 w181937 w111248 w277040 w283853 w288053 w250138 w311583 w500061 w322219 w144920 w105773 w194870 w253067 w7718 w500013 w70673 w197783 w193800 w342007,1,0,0,1,0
